City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
160,porto novo,BJ,2024-05-09,6.4965,2.6036,100,80,84.29000000000002,3.4
161,guanica,PR,2024-05-09,17.9716,-66.908,1,69,81.24800000000002,3.3
162,santa ana,US,2024-05-09,33.7456,-117.8678,75,76,69.90800000000002,4.12
163,dalsingh sarai,IN,2024-05-09,25.6667,85.8333,6,49,87.40399999999995,6.03
164,olonkinbyen,SJ,2024-05-09,70.9221,-8.7187,25,76,28.364000000000033,8.47
165,mayen abun,,,,,,,,
166,dalnegorsk,RU,2024-05-09,44.5604,135.5701,100,34,59.86400000000003,2.68
167,illapel,CL,2024-05-09,-31.6308,-71.1653,3,83,49.567999999999984,0.9
168,vera,AR,2024-05-09,-29.4593,-60.2126,100,78,51.530000000000044,2.17
169,bethel,US,2024-05-09,41.3712,-73.414,99,75,60.29600000000005,1.34
170,dauphin,CA,2024-05-09,51.1494,-100.0502,75,48,64.81400000000004,0
171,happy valley-goose bay,CA,2024-05-09,53.3168,-60.3315,75,81,37.975999999999985,1.54
172,al matlin,TN,2024-05-09,37.2452,10.05,24,85,58.85600000000003,7.78
173,taksimo,RU,2024-05-09,56.3444,114.8794,100,53,51.58399999999999,2.9
174,darlington,GB,2024-05-09,54.5243,-1.5504,100,80,54.391999999999996,1.94
175,port lincoln,AU,2024-05-09,-34.7333,135.8667,0,65,62.11400000000003,3.55
176,kayenta,US,2024-05-09,36.7278,-110.2546,32,24,53.690000000000026,3.65
177,akureyri,IS,2024-05-09,65.6835,-18.0878,0,70,37.59800000000003,2.06
178,san patricio,US,2024-05-09,28.017,-97.5169,0,82,83.10199999999998,4.31
179,yaren,NR,2024-05-09,-0.5472,166.916,89,68,84.308,1.36
180,staryye ozinki,RU,2024-05-09,51.1786,49.6769,4,60,37.88599999999997,5.08
181,sittwe,MM,2024-05-09,20.15,92.9,41,53,87.29600000000005,1.35
182,pyapon,MM,2024-05-09,16.2833,95.6833,0,40,95.70199999999997,2.01
183,altay,CN,2024-05-09,47.8667,88.1167,22,22,69.65600000000003,1.93
184,laojunmiao,CN,2024-05-09,39.8333,97.7333,100,30,56.498000000000026,4.65
185,kupiskis,LT,2024-05-09,55.8333,24.9667,100,90,44.95999999999998,4.87
186,remire-montjoly,GF,2024-05-09,4.9167,-52.2667,75,100,77.30600000000004,1.03
187,ribeira brava,PT,2024-05-09,32.65,-17.0667,20,80,68.9,0.62
188,aldinga beach,AU,2024-05-09,-35.2793,138.4604,0,48,71.726,2.7
189,pecanha,BR,2024-05-09,-18.5486,-42.5569,0,92,65.30000000000001,0.31
190,codrington,AU,2024-05-09,-38.2667,141.9667,76,75,62.690000000000026,3.61
191,kapuskasing,CA,2024-05-09,49.4169,-82.4331,20,49,50.359999999999985,2.57
192,malango,ID,2024-05-09,-2.9627,119.9001,10,58,82.75999999999999,1.93
193,lompoc,US,2024-05-09,34.6391,-120.4579,0,77,61.483999999999995,2.57
194,chengde,CN,2024-05-09,40.9725,117.9361,100,35,78.51199999999996,3.01
195,qui nhon,VN,2024-05-09,13.7667,109.2333,100,66,86.19800000000004,3.3
